momentum_window,year,Top 1 Hold 1M,Top 1 Hold 1M Trades,Top 1 Hold 2M,Top 1 Hold 2M Trades,Top 1 Hold 3M,Top 1 Hold 3M Trades,Top 2 Hold 1M,Top 2 Hold 1M Trades,Top 2 Hold 2M,Top 2 Hold 2M Trades,Top 2 Hold 3M,Top 2 Hold 3M Trades,Top 3 Hold 1M,Top 3 Hold 1M Trades,Top 3 Hold 2M,Top 3 Hold 2M Trades,Top 3 Hold 3M,Top 3 Hold 3M Trades
3,2016,0.1916664474445946,12,0.09025947080735852,6,0.42420028341016014,4,0.08390671189291132,12,0.040928453743969806,6,0.3103400967988772,4,0.07779186291956597,12,-0.014164069908507715,6,0.49317446674604715,4
3,2017,0.10196602114567632,12,0.036091537815476915,6,0.5912450768845225,4,0.3647748686211474,12,0.13470373328659968,6,0.5985863711645496,4,0.32785801869659426,12,0.17206953184273166,6,0.37771942334158215,4
3,2018,-0.15706270279918022,12,-0.09293661717755841,6,0.04128409297810309,4,-0.2962176201561678,12,-0.22026032015818353,6,-0.1662212724262747,4,-0.02799818490348671,12,-0.13680567159899348,6,-0.0090919418833042,4
3,2019,-0.07036059850001208,12,0.12872586785122975,6,0.5713170934212934,4,0.3842224777958205,12,0.41420081386563967,6,0.553632314422007,4,0.6064604754411496,12,0.5362236946144421,6,0.48535709987781583,4
3,2020,1.8777516673399641,12,3.332654798468929,6,7.480569933113131,4,2.177551010989607,12,1.897390510294486,6,2.3258193682649067,4,2.336431604824004,12,1.8296875732524107,6,1.3224171150333248,4
3,2021,0.3741019512139978,12,0.14601447554720126,6,-0.15752080332017093,4,0.46417343335993055,12,0.4466691941377079,6,-0.011475472286291977,4,0.5454638505742881,12,0.4341708750397937,6,-0.020390159082244064,4
3,2022,-0.6454636438161931,12,-0.5426624347962019,6,-0.4070823290323705,4,-0.5084511416687834,12,-0.36701090322488406,6,-0.37574522628584683,4,-0.38655064522969884,12,-0.40475252168066256,6,-0.2846534876529335,4
3,2023,0.29399754913078047,12,-0.13108191002876957,6,0.7589648606993769,4,0.5533604923279423,12,0.38874455125442786,6,0.651125961957215,4,0.2653116068092165,12,0.4468363372911288,6,0.4603673429765698,4
3,2024,-0.38199504736417234,12,-0.1825553701979178,6,-0.030729426618089306,4,-0.03391193243980939,12,-0.055960800696507884,6,0.19360894046484955,4,0.08556475917363215,12,0.1307205333582946,6,0.2434960316965633,4
3,2025,0.11809519723834505,12,2.7460563670388236,6,-0.20892735450027922,4,0.21277020224072962,12,1.494551513339439,6,0.35711384423884707,4,0.04945422273891098,12,0.8144081426396976,6,0.262312459550744,4
3,2026,0.14141264980310497,7,1.192735555413163,3,1.3454400198715435,2,0.7762649827435018,7,1.3395194105834354,3,1.1994662565955316,2,0.6905049032044699,7,1.155496876354516,3,1.167538363963501,2
4,2016,0.4499581696596513,12,0.4133797428091366,6,0.42420028341016014,4,0.7045884890429686,12,0.552530807064425,6,0.5285063705608422,4,0.6855282341599671,12,0.4612886545655428,6,0.4999826948679422,4
4,2017,0.3486555271408791,12,0.6510383251675249,6,0.4541437179205312,4,0.24035446401430427,12,0.38567992197221446,6,0.37980953673243456,4,0.2654094468763215,12,0.3421052020341888,6,0.5032604395823346,4
4,2018,0.4599827857702017,12,0.05410674818984895,6,0.785367241837057,4,0.12068082540706304,12,-0.11459228883185024,6,0.28897792810576317,4,0.13544328241969716,12,-0.05468949958161862,6,0.2300305400948206,4
4,2019,0.5475837319764989,12,0.4045756569675243,6,0.10512684204604517,4,0.21040324072745675,12,0.13485554752384532,6,0.3069692412501579,4,0.3075526563790636,12,0.09546937683291934,6,0.48730446994311594,4
4,2020,3.781819703870397,12,7.288896358784736,6,6.897995272620993,4,2.4657464619464977,12,3.5580062283426397,6,1.944805390816493,4,1.3969942305661167,12,2.5431783093315268,6,1.5777261905040336,4
4,2021,0.560998548048881,12,1.9957236146837225,6,0.08757165951799273,4,0.08138665599901018,12,0.7352457445538487,6,-0.049265231913885765,4,0.06169207295456047,12,0.3924898559630148,6,-0.023738578430003265,4
4,2022,-0.46945896105446216,12,-0.440844580172695,6,-0.1555945822491176,4,-0.38603203460452806,12,-0.33810250027990774,6,-0.11290285465347527,4,-0.30723268423747196,12,-0.1263131504713525,6,0.14823895167751977,4
4,2023,0.9382671612297488,12,0.7081358153238033,6,1.0804478221796199,4,0.8360486245804775,12,0.7177923594705862,6,0.810371097213695,4,0.6366812232442536,12,0.8992087999654428,6,0.4650607383898815,4
4,2024,0.8755929326570491,12,1.0968152847412544,6,1.4641337943225272,4,0.2290354781203212,12,-0.0038733168488206404,6,0.30641859664340987,4,0.33667894792067776,12,0.059768187907337955,6,0.204052582891592,4
4,2025,1.8046453719099702,12,0.3790549564921042,6,0.863643859362035,4,0.9919993508583378,12,1.1305621692712693,6,1.1438305284759207,4,0.982197004381665,12,1.2440371540715,6,0.7881985704974039,4
4,2026,0.5433504696363773,7,1.9442908354292308,3,1.3454400198715435,2,0.5891779006384565,7,1.5103099146859122,3,1.2240556634388993,2,0.731470127118915,7,1.3329322842433697,3,1.8838686353648524,2
5,2016,0.5267708304174288,12,0.7800992152714286,6,0.610189445041819,4,0.5841629050416337,12,0.9951044488626135,6,0.8771362883881388,4,0.5445704427941647,12,0.6711187198985358,6,0.672641664937285,4
5,2017,0.4752762648878004,12,0.6963674007320924,6,0.4320091436623743,4,0.35856393028483,12,0.3601633553726886,6,0.5984238506037312,4,0.4634023503815936,12,0.35383911116133704,6,0.5219406396275486,4
5,2018,-0.40910705984666373,12,-0.27391197986066007,6,-0.4283788390922225,4,-0.09645833796785774,12,-0.14180280016534264,6,-0.3482052398158474,4,-0.17506885130579752,12,-0.1814008147501447,6,-0.25413061989987495,4
5,2019,0.6124865397566304,12,0.7177480057214713,6,0.640336794399426,4,0.253093976543763,12,0.36576062523304564,6,0.6291955483768914,4,0.23146470308918854,12,0.20816791975595583,6,0.44930543599277306,4
5,2020,1.2775864388609195,12,6.060637839351207,6,2.614966077564485,4,2.0722445079423153,12,3.745153514070286,6,2.286702235869085,4,1.5939463994943663,12,1.9152828563174267,6,1.2699592704360487,4
5,2021,1.4264173275251446,12,0.6282307536916452,6,0.608008908550479,4,0.6669555399999314,12,0.06839113965576837,6,0.1285148320191356,4,0.44126434202630005,12,0.12789238632412392,6,0.10367075211010257,4
5,2022,-0.3629172965396359,12,-0.40089553404154876,6,-0.19464096969683364,4,-0.2514753426353009,12,-0.24722990210481943,6,0.12095832116743144,4,-0.27355632109553507,12,-0.3172406169364268,6,0.059705560857660434,4
5,2023,2.229829637420078,12,1.2787502204352243,6,0.6565379000872986,4,1.1794195147227162,12,0.6527131512912967,6,0.6408050236859828,4,0.5609634982118401,12,0.3369941144878028,6,0.4424128526849922,4
5,2024,-0.15607625814767334,12,-0.34717568806276755,6,-0.11782458071482405,4,0.25679912787988113,12,-0.013910074054106714,6,-0.04747194693457646,4,0.2386259454033426,12,0.13876614872843973,6,0.1988767327308416,4
5,2025,0.4299718820858198,12,0.9602564101520203,6,0.22437346987682139,4,1.3350474181737226,12,1.5992552030199607,6,1.0976579477987043,4,1.2420038443302928,12,1.178848776978172,6,0.9606933438177372,4
5,2026,1.0508502454568318,7,1.9442908354292308,3,1.3454400198715435,2,1.0128386984540203,7,1.9880612193352865,3,1.874006365337062,2,0.6578959425986777,7,1.3329322842433697,3,1.8838686353648524,2
