decision_month,decision_date,sell_date,universe_asof_date,raw_universe_size,available_universe_size,momentum_window,holding_months,top_n,avg_momentum,holding_return,stock_1,mom_1,stock_1_return,stock_2,mom_2,stock_2_return,stock_3,mom_3,stock_3_return
2016-01,2016-01-04,2016-02-01,2016-01-04,104,75,6,1,1,0.08399929961728926,-0.09484095150799499,NVDA,0.08399929961728926,-0.09484095150799499,,,,,,
2016-01,2016-01-04,2016-03-01,2016-01-04,104,75,6,2,1,0.08399929961728926,0.015425360380830755,NVDA,0.08399929961728926,0.015425360380830755,,,,,,
2016-01,2016-01-04,2016-04-01,2016-01-04,104,75,6,3,1,0.08399929961728926,0.12084351594464904,NVDA,0.08399929961728926,0.12084351594464904,,,,,,
2016-01,2016-01-04,2016-02-01,2016-01-04,104,75,6,1,2,0.07745257771860156,-0.0962281665438025,NVDA,0.08399929961728926,-0.09484095150799499,AMZN,0.07090585581991386,-0.09761538157961003,,,
2016-01,2016-01-04,2016-03-01,2016-01-04,104,75,6,2,2,0.07745257771860156,-0.0377747047313291,NVDA,0.08399929961728926,0.015425360380830755,AMZN,0.07090585581991386,-0.09097476984348896,,,
2016-01,2016-01-04,2016-04-01,2016-01-04,104,75,6,3,2,0.07745257771860156,0.030209331098732306,NVDA,0.08399929961728926,0.12084351594464904,AMZN,0.07090585581991386,-0.060424853747184426,,,
2016-01,2016-01-04,2016-02-01,2016-01-04,104,75,6,1,3,0.07328590586669327,-0.059586943433067065,NVDA,0.08399929961728926,-0.09484095150799499,AMZN,0.07090585581991386,-0.09761538157961003,GOOG,0.0649525621628767,0.013695502788403813
2016-01,2016-01-04,2016-03-01,2016-01-04,104,75,6,2,3,0.07328590586669327,-0.03553132957672134,NVDA,0.08399929961728926,0.015425360380830755,AMZN,0.07090585581991386,-0.09097476984348896,GOOG,0.0649525621628767,-0.031044579267505812
2016-01,2016-01-04,2016-04-01,2016-01-04,104,75,6,3,3,0.07328590586669327,0.02376565051253976,NVDA,0.08399929961728926,0.12084351594464904,AMZN,0.07090585581991386,-0.060424853747184426,GOOG,0.0649525621628767,0.010878289340154668
2016-02,2016-02-01,2016-03-01,2016-02-01,105,76,6,1,1,0.06909120923868521,0.12181981948092924,NVDA,0.06909120923868521,0.12181981948092924,,,,,,
2016-02,2016-02-01,2016-04-01,2016-02-01,105,76,6,2,1,0.06909120923868521,0.23828350145974264,NVDA,0.06909120923868521,0.23828350145974264,,,,,,
2016-02,2016-02-01,2016-05-02,2016-02-01,105,76,6,3,1,0.06909120923868521,0.23314537448616424,NVDA,0.06909120923868521,0.23314537448616424,,,,,,
2016-02,2016-02-01,2016-03-01,2016-02-01,105,76,6,1,2,0.06076632012766027,0.07896652869946963,NVDA,0.06909120923868521,0.12181981948092924,KLAC,0.05244143101663532,0.03611323791801002,,,
2016-02,2016-02-01,2016-04-01,2016-02-01,105,76,6,2,2,0.06076632012766027,0.16776507028036036,NVDA,0.06909120923868521,0.23828350145974264,KLAC,0.05244143101663532,0.09724663910097808,,,
2016-02,2016-02-01,2016-05-02,2016-02-01,105,76,6,3,2,0.06076632012766027,0.14281542144142734,NVDA,0.06909120923868521,0.23314537448616424,KLAC,0.05244143101663532,0.05248546839669044,,,
2016-02,2016-02-01,2016-03-01,2016-02-01,105,76,6,1,3,0.057253088175541145,0.052088409913527554,NVDA,0.06909120923868521,0.12181981948092924,KLAC,0.05244143101663532,0.03611323791801002,TCOM,0.0502266242713029,-0.001667827658356602
2016-02,2016-02-01,2016-04-01,2016-02-01,105,76,6,2,3,0.057253088175541145,0.13463745107069358,NVDA,0.06909120923868521,0.23828350145974264,KLAC,0.05244143101663532,0.09724663910097808,TCOM,0.0502266242713029,0.06838221265136002
2016-02,2016-02-01,2016-05-02,2016-02-01,105,76,6,3,3,0.057253088175541145,0.11562169306325558,NVDA,0.06909120923868521,0.23314537448616424,KLAC,0.05244143101663532,0.05248546839669044,TCOM,0.0502266242713029,0.06123423630691205
2016-03,2016-03-01,2016-04-01,2016-03-01,105,76,6,1,1,0.07821730799026431,0.10381674486077586,NVDA,0.07821730799026431,0.10381674486077586,,,,,,
2016-03,2016-03-01,2016-05-02,2016-03-01,105,76,6,2,1,0.07821730799026431,0.09923657353169757,NVDA,0.07821730799026431,0.09923657353169757,,,,,,
2016-03,2016-03-01,2016-06-01,2016-03-01,105,76,6,3,1,0.07821730799026431,0.4330247744750344,NVDA,0.07821730799026431,0.4330247744750344,,,,,,
2016-03,2016-03-01,2016-04-01,2016-03-01,105,76,6,1,2,0.07656025783483036,0.08274193875294511,NVDA,0.07821730799026431,0.10381674486077586,MAT,0.0749032076793964,0.061667132645114364,,,
2016-03,2016-03-01,2016-05-02,2016-03-01,105,76,6,2,2,0.07656025783483036,0.035053695453618194,NVDA,0.07821730799026431,0.09923657353169757,MAT,0.0749032076793964,-0.02912918262446118,,,
2016-03,2016-03-01,2016-06-01,2016-03-01,105,76,6,3,2,0.07656025783483036,0.21582745634248257,NVDA,0.07821730799026431,0.4330247744750344,MAT,0.0749032076793964,-0.00136986179006926,,,
2016-03,2016-03-01,2016-04-01,2016-03-01,105,76,6,1,3,0.07323361212407037,0.07855031479682095,NVDA,0.07821730799026431,0.10381674486077586,MAT,0.0749032076793964,0.061667132645114364,TCOM,0.06658032070255039,0.07016706688457264
2016-03,2016-03-01,2016-05-02,2016-03-01,105,76,6,2,3,0.07323361212407037,0.04437151331277781,NVDA,0.07821730799026431,0.09923657353169757,MAT,0.0749032076793964,-0.02912918262446118,TCOM,0.06658032070255039,0.06300714903109705
2016-03,2016-03-01,2016-06-01,2016-03-01,105,76,6,3,3,0.07323361212407037,0.16313714769737783,NVDA,0.07821730799026431,0.4330247744750344,MAT,0.0749032076793964,-0.00136986179006926,TCOM,0.06658032070255039,0.05775653040716833
2016-04,2016-04-01,2016-05-02,2016-04-01,105,77,6,1,1,0.10541443816043215,-0.0855223944282415,MAT,0.10541443816043215,-0.0855223944282415,,,,,,
2016-04,2016-04-01,2016-06-01,2016-04-01,105,77,6,2,1,0.10541443816043215,-0.05937547890187467,MAT,0.10541443816043215,-0.05937547890187467,,,,,,
2016-04,2016-04-01,2016-07-01,2016-04-01,105,77,6,3,1,0.10541443816043215,-0.06765006193046363,MAT,0.10541443816043215,-0.06765006193046363,,,,,,
2016-04,2016-04-01,2016-05-02,2016-04-01,105,77,6,1,2,0.09407308093865785,-0.046106430904744033,MAT,0.10541443816043215,-0.0855223944282415,TCOM,0.08273172371688355,-0.006690467381246568,,,
2016-04,2016-04-01,2016-06-01,2016-04-01,105,77,6,2,2,0.09407308093865785,-0.03548615021381629,MAT,0.10541443816043215,-0.05937547890187467,TCOM,0.08273172371688355,-0.011596821525757917,,,
2016-04,2016-04-01,2016-07-01,2016-04-01,105,77,6,3,2,0.09407308093865785,-0.07519435967360566,MAT,0.10541443816043215,-0.06765006193046363,TCOM,0.08273172371688355,-0.08273865741674769,,,
2016-04,2016-04-01,2016-05-02,2016-04-01,105,77,6,1,3,0.08782999330980434,-0.03212075216324062,MAT,0.10541443816043215,-0.0855223944282415,TCOM,0.08273172371688355,-0.006690467381246568,NVDA,0.07534381805209733,-0.004149394680233787
2016-04,2016-04-01,2016-06-01,2016-04-01,105,77,6,2,3,0.08782999330980434,0.07575762829260513,MAT,0.10541443816043215,-0.05937547890187467,TCOM,0.08273172371688355,-0.011596821525757917,NVDA,0.07534381805209733,0.29824518530544797
2016-04,2016-04-01,2016-07-01,2016-04-01,105,77,6,3,3,0.08782999330980434,0.04789889172546865,MAT,0.10541443816043215,-0.06765006193046363,TCOM,0.08273172371688355,-0.08273865741674769,NVDA,0.07534381805209733,0.29408539452361726
2016-05,2016-05-02,2016-06-01,2016-05-02,107,79,6,1,1,0.04804419229200694,0.028592187897284793,MAT,0.04804419229200694,0.028592187897284793,,,,,,
2016-05,2016-05-02,2016-07-01,2016-05-02,107,79,6,2,1,0.04804419229200694,0.01954376180333428,MAT,0.04804419229200694,0.01954376180333428,,,,,,
2016-05,2016-05-02,2016-08-01,2016-05-02,107,79,6,3,1,0.04804419229200694,0.05735261345708098,MAT,0.04804419229200694,0.05735261345708098,,,,,,
2016-05,2016-05-02,2016-06-01,2016-05-02,107,79,6,1,2,0.04572969475299725,0.16612337525484955,MAT,0.04804419229200694,0.028592187897284793,NVDA,0.043415197213987566,0.3036545626124143,,,
2016-05,2016-05-02,2016-07-01,2016-05-02,107,79,6,2,2,0.04572969475299725,0.15951060055032784,MAT,0.04804419229200694,0.01954376180333428,NVDA,0.043415197213987566,0.2994774392973214,,,
2016-05,2016-05-02,2016-08-01,2016-05-02,107,79,6,3,2,0.04572969475299725,0.3186391308733436,MAT,0.04804419229200694,0.05735261345708098,NVDA,0.043415197213987566,0.5799256482896062,,,
2016-05,2016-05-02,2016-06-01,2016-05-02,107,79,6,1,3,0.043474903519556664,0.11302776107441874,MAT,0.04804419229200694,0.028592187897284793,NVDA,0.043415197213987566,0.3036545626124143,ISRG,0.03896532105267551,0.0068365327135571086
2016-05,2016-05-02,2016-07-01,2016-05-02,107,79,6,2,3,0.043474903519556664,0.12368176899317722,MAT,0.04804419229200694,0.01954376180333428,NVDA,0.043415197213987566,0.2994774392973214,ISRG,0.03896532105267551,0.05202410587887596
2016-05,2016-05-02,2016-08-01,2016-05-02,107,79,6,3,3,0.043474903519556664,0.24427208623660612,MAT,0.04804419229200694,0.05735261345708098,NVDA,0.043415197213987566,0.5799256482896062,ISRG,0.03896532105267551,0.09553799696313114
2016-06,2016-06-01,2016-07-01,2016-06-01,107,79,6,1,1,0.0697829419612261,-0.0032041642279243554,NVDA,0.0697829419612261,-0.0032041642279243554,,,,,,
