decision_month,decision_date,sell_date,universe_asof_date,raw_universe_size,available_universe_size,momentum_window,holding_months,top_n,avg_momentum,holding_return,stock_1,mom_1,stock_1_return,stock_2,mom_2,stock_2_return,stock_3,mom_3,stock_3_return
2016-01,2016-01-04,2016-02-01,2016-01-04,104,77,4,1,1,0.1183064454983554,-0.0720760301197626,TCOM,0.1183064454983554,-0.0720760301197626,,,,,,
2016-01,2016-01-04,2016-03-01,2016-01-04,104,77,4,2,1,0.1183064454983554,-0.07362364738158089,TCOM,0.1183064454983554,-0.07362364738158089,,,,,,
2016-01,2016-01-04,2016-04-01,2016-01-04,104,77,4,3,1,0.1183064454983554,-0.008622535887117921,TCOM,0.1183064454983554,-0.008622535887117921,,,,,,
2016-01,2016-01-04,2016-02-01,2016-01-04,104,77,4,1,2,0.11444379957362553,-0.0834585094069975,TCOM,0.1183064454983554,-0.0720760301197626,NVDA,0.11058115364889567,-0.09484098869423241,,,
2016-01,2016-01-04,2016-03-01,2016-01-04,104,77,4,2,2,0.11444379957362553,-0.029099034295383686,TCOM,0.1183064454983554,-0.07362364738158089,NVDA,0.11058115364889567,0.015425578790813521,,,
2016-01,2016-01-04,2016-04-01,2016-01-04,104,77,4,3,2,0.11444379957362553,0.05611037537657859,TCOM,0.1183064454983554,-0.008622535887117921,NVDA,0.11058115364889567,0.1208432866402751,,,
2016-01,2016-01-04,2016-02-01,2016-01-04,104,77,4,1,3,0.1108237470085874,-0.06325772882682583,TCOM,0.1183064454983554,-0.0720760301197626,NVDA,0.11058115364889567,-0.09484098869423241,KLAC,0.10358364187851116,-0.022856167666482463
2016-01,2016-01-04,2016-03-01,2016-01-04,104,77,4,2,3,0.1108237470085874,-0.015255591528241555,TCOM,0.1183064454983554,-0.07362364738158089,NVDA,0.11058115364889567,0.015425578790813521,KLAC,0.10358364187851116,0.012431294006042704
2016-01,2016-01-04,2016-04-01,2016-01-04,104,77,4,3,3,0.1108237470085874,0.06146259759688114,TCOM,0.1183064454983554,-0.008622535887117921,NVDA,0.11058115364889567,0.1208432866402751,KLAC,0.10358364187851116,0.07216704203748625
2016-02,2016-02-01,2016-03-01,2016-02-01,105,78,4,1,1,0.10697277576877132,-0.001667827658356602,TCOM,0.10697277576877132,-0.001667827658356602,,,,,,
