date,QQQ
2015-01-02,94.56114959716797
2015-01-05,93.17405700683594
2015-01-06,91.92473602294922
2015-01-07,93.10977172851562
2015-01-08,94.8918685913086
2015-01-09,94.26720428466797
2015-01-12,93.28428649902344
2015-01-13,93.25674438476562
2015-01-14,92.7423095703125
2015-01-15,91.53893280029297
2015-01-16,92.61372375488281
2015-01-20,93.34855651855469
2015-01-21,93.82626342773438
2015-01-22,95.56243133544922
2015-01-23,95.77371215820312
2015-01-26,95.66349029541016
2015-01-27,93.18325805664062
2015-01-28,92.70555114746094
2015-01-29,93.59662628173828
2015-01-30,92.87093353271484
2015-02-02,93.67928314208984
2015-02-03,94.57950592041016
2015-02-04,94.49687194824219
2015-02-05,95.31441497802734
2015-02-06,94.73571014404297
2015-02-09,94.43254089355469
2015-02-10,95.90227508544922
2015-02-11,96.25139617919922
2015-02-12,97.37207794189453
2015-02-13,98.20802307128906
2015-02-17,98.29985046386719
2015-02-18,98.43766021728516
2015-02-19,98.92451477050781
2015-02-20,99.58592987060547
2015-02-23,99.68694305419922
2015-02-24,99.76045227050781
2015-02-25,99.51243591308594
2015-02-26,100.01764678955078
2015-02-27,99.57674407958984
2015-03-02,100.4769515991211
2015-03-03,100.00849151611328
2015-03-04,99.62266540527344
2015-03-05,99.79719543457031
2015-03-06,98.6673355102539
2015-03-09,98.95206451416016
2015-03-10,97.11485290527344
2015-03-11,96.55453491210938
2015-03-12,97.18836975097656
2015-03-13,96.76579284667969
2015-03-16,98.01510620117188
2015-03-17,98.17124938964844
2015-03-18,99.13580322265625
2015-03-19,99.28276824951172
2015-03-20,99.9254379272461
2015-03-23,99.73211669921875
2015-03-24,99.37300872802734
2015-03-25,97.09886169433594
2015-03-26,96.76734924316406
2015-03-27,97.15409088134766
2015-03-30,98.26815032958984
2015-03-31,97.22774505615234
2015-04-01,96.72134399414062
2015-04-02,96.78582000732422
2015-04-06,97.57760620117188
2015-04-07,97.41190338134766
2015-04-08,98.1852798461914
2015-04-09,98.80213928222656
2015-04-10,99.20728302001953
2015-04-13,98.95868682861328
2015-04-14,98.67324829101562
2015-04-15,99.29015350341797
2015-04-16,99.15203857421875
2015-04-17,97.60523223876953
2015-04-20,99.06916046142578
2015-04-21,99.4926986694336
2015-04-22,100.0359115600586
2015-04-23,100.41339874267578
2015-04-24,101.77606964111328
2015-04-27,101.51827239990234
2015-04-28,101.31572723388672
2015-04-29,100.6804428100586
2015-04-30,99.09678649902344
2015-05-01,100.40421295166016
2015-05-04,100.5699234008789
2015-05-05,98.9310302734375
2015-05-06,98.24974060058594
2015-05-07,98.83897399902344
2015-05-08,100.07276153564453
2015-05-11,99.68605041503906
2015-05-12,99.23490142822266
2015-05-13,99.4374771118164
2015-05-14,100.89218139648438
2015-05-15,100.89218139648438
2015-05-18,101.33414459228516
2015-05-19,101.22364044189453
2015-05-20,101.2880859375
2015-05-21,101.81288146972656
2015-05-22,101.71163177490234
2015-05-26,100.54231262207031
2015-05-27,102.16276550292969
2015-05-28,101.93260192871094
2015-05-29,101.324951171875
2015-06-01,101.66559600830078
2015-06-02,101.34333038330078
2015-06-03,101.64720916748047
2015-06-04,100.87378692626953
2015-06-05,100.6343994140625
2015-06-08,99.61237335205078
2015-06-09,99.44669342041016
2015-06-10,100.80935668945312
2015-06-11,100.9566421508789
2015-06-12,100.12799072265625
2015-06-15,99.63082885742188
2015-06-16,100.17403411865234
2015-06-17,100.45024871826172
2015-06-18,101.9141616821289
2015-06-19,101.41033172607422
2015-06-22,102.15778350830078
2015-06-23,102.24085235595703
2015-06-24,101.71485137939453
2015-06-25,101.51184844970703
2015-06-26,100.83816528320312
2015-06-29,98.45726776123047
2015-06-30,98.80792236328125
2015-07-01,99.59233856201172
2015-07-02,99.62002563476562
2015-07-06,99.3893051147461
2015-07-07,99.63847351074219
2015-07-08,97.90353393554688
2015-07-09,97.84818267822266
2015-07-10,99.3431625366211
2015-07-13,101.08733367919922
2015-07-14,101.75177001953125
2015-07-15,101.86251068115234
2015-07-16,103.3021240234375
2015-07-17,104.82481384277344
2015-07-20,105.18472290039062
2015-07-21,105.12010192871094
2015-07-22,103.9296646118164
2015-07-23,103.54207611083984
2015-07-24,102.5269546508789
